field_id,exposure_n,night_n,first_night,last_night,open_shutter_s,center_ra_deg,center_dec_deg,nominal_pixel_n_nside512
1601,30,10,20251115,20260120,900.0,7.157561106252184,17.902844577348198,777
1638,30,12,20251125,20260427,900.0,120.43902886833165,34.371691888292816,769
1735,30,11,20251115,20260126,900.0,15.399987013311835,24.215090237820213,760
1741,30,10,20251115,20260120,900.0,32.11708057122382,30.27942672217092,775
0274,29,11,20251129,20260122,870.0,42.7995734305828,2.639869999599185,772
0398,29,10,20251119,20260201,870.0,22.760680123276963,-1.761901873274643,755
0404,29,11,20251129,20260122,870.0,37.796616146535364,3.8251955810361693,772
0419,29,13,20251221,20260308,870.0,77.37663468357276,12.40297506563127,774
0537,29,12,20251129,20260122,870.0,37.95149286707574,6.6981595386635,755
0665,29,11,20251119,20260127,870.0,23.011001285103024,4.095873559004427,756
0673,29,10,20251121,20260123,870.0,43.367588210091505,11.210153999661907,738
0714,29,12,20260105,20260430,870.0,154.29803721105162,5.142448884823881,755
0816,29,10,20251217,20260202,870.0,65.4792049749791,19.028494502348938,740
0822,29,13,20260108,20260330,870.0,82.43850281586604,20.789739399173087,778
0852,29,11,20260101,20260403,870.0,163.55429309238673,4.331424832776842,770
0933,29,10,20251115,20260123,870.0,18.430449502186406,8.032471182959522,773
0950,29,12,20251217,20260202,870.0,63.52375145848254,21.42450628389766,778
0955,29,11,20251119,20260330,870.0,77.84773376434177,23.180604045642813,760
0960,29,13,20251119,20260330,870.0,92.40676067398306,23.63166846000325,759
0986,29,14,20251230,20260403,870.0,163.1987491734865,7.371046843992262,755
1067,29,12,20251121,20260123,870.0,13.671753558459443,8.979767483061543,755
1070,29,11,20251115,20260126,870.0,21.21592221291802,12.02398053812315,755
1071,29,12,20251115,20260127,870.0,23.761332947329045,13.007334727252283,774
1134,29,10,20260202,20260530,870.0,195.25548352230578,-3.3824701854000248,773
1233,29,15,20251122,20260208,870.0,102.13970115561318,28.55038125909341,757
1268,29,11,20260202,20260530,870.0,195.66941562167435,-0.6567768845816415,756
1350,29,9,20251210,20260120,870.0,49.365200114763965,26.74013125731111,759
1393,29,12,20251231,20260528,870.0,174.22454668445138,11.472648613584843,776
1406,29,11,20260213,20260504,870.0,206.39176210587323,-2.088615726540107,772
1469,29,11,20251115,20260120,870.0,9.426319501017105,15.935755541216018,758
1606,29,7,20251120,20260126,870.0,20.26458025467167,23.204647575004227,769
1629,29,11,20251120,20260222,870.0,90.89351543752127,37.022385114045406,763
1630,29,12,20251120,20260223,870.0,94.23947908449989,36.97347594067497,763
1677,29,9,20260331,20260715,870.0,224.3672381380076,-2.6816270751082825,756
1740,29,10,20251115,20260120,870.0,29.239390629885502,29.327120581126678,757
0140,28,11,20251205,20260201,840.0,35.19075754206358,-2.744646904294584,755
0144,28,10,20251129,20260122,840.0,45.33757004049439,0.624150946452996,755
0155,28,11,20251217,20260220,840.0,74.14577736214311,6.703994717128962,755
0314,28,9,20251205,20260315,840.0,148.37616458448966,-1.20108714818501,755
0402,28,11,20251207,20260201,840.0,32.744768658896305,2.0604623201736887,756
0405,28,11,20251129,20260122,840.0,40.34081048268022,4.664459983415534,791
0848,28,11,20260105,20260430,840.0,153.5595278920641,8.288955871979123,763
0864,28,10,20260202,20260426,840.0,193.11778314164403,-8.292896146498649,755
0988,28,11,20260101,20260403,840.0,168.16242351986094,5.311289316957624,772
1120,28,12,20251229,20260430,840.0,160.65111623620663,11.288141215409984,765
1125,28,12,20260101,20260528,840.0,173.12172148007764,6.113891839381438,755
1126,28,14,20260102,20260528,840.0,175.58748170821943,5.054572716708951,755
1127,28,12,20260106,20260529,840.0,178.0476814484366,3.9917304207833064,771
1217,28,10,20251213,20260120,840.0,54.08396061847964,25.06614773544188,778
1229,28,11,20251119,20260330,840.0,89.94870249574141,28.999900325020942,757
1230,28,11,20251119,20260223,840.0,93.00393922331023,28.972408012323207,758
1341,28,11,20251119,20260127,840.0,24.569823657125987,19.05686939872703,759
1404,28,10,20260213,20260406,840.0,201.41857408302704,-0.12488797906236099,755
1407,28,10,20260213,20260601,840.0,208.89204645467532,-3.0402400886830674,755
1510,28,13,20251201,20260310,840.0,132.05971032029157,29.16861227041986,757
1808,28,9,20260401,20260715,840.0,229.00087610968507,-1.2559557305326536,755
0017,27,10,20251129,20260122,810.0,47.96516380765394,-1.3834972505658938,755
0018,27,10,20251129,20260122,810.0,50.53588326234456,-0.6518347474286428,735
0148,27,11,20251119,20260218,810.0,55.65801042196121,3.4326336122386705,772
0158,27,9,20251217,20260308,810.0,82.19495179937343,7.38306287518035,755
0269,27,9,20251221,20260201,810.0,30.174413504853117,-1.7409393721455022,772
0271,27,10,20251207,20260201,810.0,35.194173049263526,0.0961686677817413,756
0551,27,13,20251221,20260308,810.0,75.16242825165207,14.883527276117707,758
0552,27,10,20260106,20260308,810.0,77.91725677947103,15.1332508813155,777
0687,27,12,20260108,20260330,810.0,81.45189057743812,18.05861428086598,777
0806,27,11,20251121,20260115,810.0,38.51052796728606,12.514381524518072,761
0851,27,13,20260102,20260430,810.0,161.0722717030864,5.34524605893274,755
0942,27,10,20251206,20260123,810.0,41.5746023443648,16.271502932459057,758
0961,27,12,20251122,20260306,810.0,95.32220986335962,23.560021793982806,761
